//Rommel's Fantasy Revenge
//Level 1
//player initial position
0, 1023, 1023
//enemy tank 1
1, 200, 200
1, 800, 200
1, 500, 500
//enemy tank 2
2, 300, 800
2, 300, 1400
2, 900, 1100
//enemy tank 3
3, 1100, 1200
3, 1100, 2200
3, 600, 1200
3, 600, 2200
//enemy tank 4
4, 500, 1050
4, 600, 1600
4, 400, 1300
//enemy tank 5
5, 1300, 300
5, 2000, 300
5, 1650, 600
//enemy tank 6
6, 2200, 2200
6, 2000, 1400
6, 1800, 1800
//enemy tank 7
7, 1000, 1500
7, 2000, 2000
//enemy tank 8
8, 1600, 1600
8, 1800, 1800
8, 1700, 1600
8, 1800, 1700
//enemy tank 9
9, 345, 653
9, 2200, 653
//enemy tank 10
10, 400, 2000
10, 2000, 400

